Component	kappa	rho	variance explained	normalized variance explained	countsigFT2	countsigFS0	dice_FT2	dice_FS0	signal-noise_t	signal-noise_p	optimal sign	Fstat nuisance model	Fstat nuisance Motion partial model	Fstat nuisance CSF partial model	pval nuisance model	pval nuisance Motion partial model	pval nuisance CSF partial model	R2stat nuisance model	R2stat nuisance Motion partial model	R2stat nuisance CSF partial model	Fstat task model	pval task model	R2stat task model	Var Exp of rejected to accepted	classification	classification_tags
ICA_10	23.488563642365445	28.740260677281896	0.7788715382720655	0.003876848902850347	3337	2372	0.5874233128834356	0.4990345419437889	2.9588069938466273	0.00329862623106875	1	4.872120654650884	4.698121227011065	1.734828490983803	1.3370759299746737e-07	1.985392022563204e-06	0.16253677241346431	0.33821361400444483	0.28276745132562275	0.03511692278639755	3.905715760736485	0.0498741881945739	0.02427331895744589	n/a	rejected	Unlikely BOLD
ICA_11	22.917616131650213	16.59938141123737	0.76126194035022	0.006697431740280062	3067	2410	0.5938063247583156	0.4109473684210526	-6.3703935454208285	4.0627620895536824e-09	1	25.6887208977818	31.18947881128911	4.730869696940228	1.1102230246251565e-16	1.1102230246251565e-16	0.0035388268513054655	0.7293362485112639	0.7235506321770111	0.09028801782035867	3.7512314497528605	0.054564193835232255	0.02333563118566473	n/a	rejected	Unlikely BOLD,External regressors
ICA_12	66.33927428699141	15.470837353704972	0.38428127981614635	0.010802339338896613	4904	3397	0.696950578338591	0.5475974614687217	10.089267147472157	1.1448916491836076e-21	1	1.868152703022568	1.2126618222331818	5.4598682776220135	0.031062432295940745	0.2798274808533523	0.0013948395236639266	0.16385168539132466	0.09236282139322072	0.1027710217379606	2.3312547037839604	0.1288117164390329	0.014631496551747114	n/a	rejected	Unlikely BOLD
ICA_13	40.64486979701814	15.09533435734773	0.16693497510693703	0.0037774973636724753	3472	2627	0.6466539756919022	0.5407825579131789	11.7653755181109	3.893359906728954e-29	1	2.6211290218042915	2.931961429856792	2.5116413217376894	0.0016175591293006164	0.001146976470777994	0.061032303576104674	0.21565158089418535	0.1974567219811545	0.05005432471573379	6.71868798278213	0.010441034412955297	0.04103800284234327	n/a	rejected	Unlikely BOLD
ICA_14	182.4198022391339	28.704775700098775	9.458016416813903	0.0647552961048425	7257	5183	0.759190532875849	0.6479798956118307	2.563635169842843	0.011802564071595134	1	25.59681957271746	31.464178315320943	5.924009953029412	1.1102230246251565e-16	1.1102230246251565e-16	0.0007735368004916365	0.7286281856265044	0.7253011860046836	0.11054180179639994	59.47936724773192	1.332933763364963e-12	0.2747576732320437	n/a	rejected	Unlikely BOLD,Likely BOLD,External regressors
ICA_15	40.64942019472253	33.8622096583471	0.7388356261717042	0.008391254235192583	6926	6076	0.6718796105045736	0.5257723087513984	5.415314492283568	3.900365684091729e-07	1	11.488909755593792	5.7706135994812655	29.876447094880792	1.1102230246251565e-16	4.4741390370361955e-08	4.6629367034256575e-15	0.5465120780401047	0.3262578255474228	0.3852882047882903	0.04126218147222778	0.8392957093875066	0.00026274738816445264	n/a	rejected	Unlikely BOLD,External regressors
ICA_16	18.834044745878103	21.861188465157223	0.15714103678119182	0.0030895921408111444	2468	2849	0.5812105155899735	0.5388947553678283	1.4597082384408133	0.14489592522250994	1	1.3950797911711408	1.4336045225250362	1.3957063429816923	0.15715675865184986	0.15716884942794418	0.2466005895058223	0.12765620911996756	0.10738392518091122	0.028447591450727838	0.6654005151545016	0.4158956351715981	0.004220333142086807	n/a	rejected	Unlikely BOLD
ICA_17	25.620614389714667	30.955713580245995	0.8127669253308865	0.011973058205192458	4180	3843	0.5376903082064612	0.4676209952283572	-1.0934256877337702	0.27446110408228735	1	14.5407015780033	3.9161590239827704	39.64028215466057	1.1102230246251565e-16	3.318939609964211e-05	1.1102230246251565e-16	0.6039993558020463	0.24734428967379962	0.45403352986008017	12.836942290238177	0.0004529277327007808	0.075583922538483	n/a	rejected	Unlikely BOLD,External regressors
ICA_18	115.55803855245345	18.311607248383925	0.6052693069370598	0.00828076868386843	5818	4586	0.7852397198778955	0.6743515850144092	15.330914293766927	1.718608896874037e-46	1	2.7032263585243808	2.4429105347194437	2.2134022323775238	0.001155053339767731	0.006376034630273919	0.08914366197684054	0.22091391915679737	0.170124126947389	0.044374482257780845	3.0409618281944995	0.08314512644785099	0.019001146915494038	20.966965802528257	accepted	Likely BOLD
ICA_19	26.531191944153267	13.151865211966241	0.20251197914212277	0.0030473519648805546	3683	2826	0.6655405405405406	0.5303003376577217	8.015545521096069	9.838836684178123e-15	1	2.037035914219759	2.472560380610632	0.84683809819447	0.016475835275265527	0.00575624566339572	0.47043539731879325	0.17605625807063618	0.17183413483481624	0.01745571882095487	0.00019094504218865324	0.9889924973467787	1.2162089806366794e-06	n/a	rejected	Unlikely BOLD
ICA_20	63.32520737361112	16.16370484393404	0.4030608573476896	0.006130323622469664	4998	3570	0.7028466106901495	0.5782780295278468	15.20613476997071	1.200215355614055e-47	1	3.6211843216861332	3.7166488204526438	2.7865087694047372	2.4881916534491566e-05	6.827485566351932e-05	0.04296295630838887	0.2752806614923179	0.23773900191004815	0.05522960141399802	0.5170414374413838	0.47317533748964524	0.0032824476178771045	n/a	rejected	Unlikely BOLD
